iter	Passed	Remaining
462	748	868
463	749	865
464	750	863
465	751	860
466	751	858
467	752	855
468	753	853
469	754	851
470	755	848
471	756	846
472	757	844
473	758	841
474	759	839
475	759	836
476	760	834
477	761	831
478	762	829
479	763	827
480	764	824
481	765	822
482	765	819
483	766	817
484	767	815
485	768	812
486	769	810
487	770	808
488	771	806
489	772	803
490	773	801
491	773	799
492	774	796
493	775	794
494	776	792
495	777	790
496	778	787
497	779	785
498	780	783
499	781	781
500	781	778
501	782	776
502	783	774
503	784	772
504	785	770
505	786	768
506	787	765
507	788	763
508	789	761
509	790	759
510	791	757
511	792	755
512	793	753
513	794	751
514	795	749
515	796	747
516	797	745
517	798	743
518	799	741
519	801	739
520	802	737
521	803	735
522	804	733
523	805	731
524	805	729
525	807	727
526	808	725
527	809	723
528	810	721
529	811	719
530	811	717
531	812	714
532	813	712
533	815	711
534	816	709
535	817	707
536	817	705
537	818	703
538	819	700
539	820	698
540	821	696
541	822	694
542	823	692
543	823	690
544	824	688
545	825	686
546	826	684
547	827	682
548	828	680
549	829	678
550	830	676
551	831	674
552	832	672
553	833	670
554	833	668
555	834	666
556	835	664
557	837	663
558	838	661
559	839	659
560	839	657
561	840	655
562	841	653
563	842	651
564	843	649
565	844	647
566	845	646
567	846	644
568	847	642
569	848	640
570	849	638
571	850	636
572	851	634
573	852	632
574	853	631
575	854	629
576	855	627
577	856	625
578	857	623
579	858	621
580	859	619
581	860	618
582	861	616
583	862	614
584	863	612
585	864	610
586	864	608
587	865	606
588	867	604
589	868	603
590	869	601
591	869	599
592	870	597
593	871	595
594	872	593
595	873	591
596	874	590
597	875	588
598	876	586
599	877	584
600	878	583
601	879	581
602	879	579
603	880	577
604	881	575
605	882	573
606	883	572
607	884	570
608	885	568
609	886	566
610	887	564
611	888	563
612	890	562
613	891	560
614	892	558
615	893	556
616	894	555
617	895	553
618	896	551
619	897	550
620	899	548
621	900	546
622	901	545
623	902	543
624	903	541
625	904	540
626	905	538
627	906	536
628	907	535
629	908	533
630	909	531
631	910	530
632	911	528
633	912	526
634	913	525
635	914	523
636	916	522
637	917	520
638	918	518
639	919	517
640	920	515
641	921	514
642	922	512
643	923	510
644	925	509
645	926	507
646	927	505
647	928	504
648	929	502
649	930	500
650	930	499
651	931	497
652	932	495
653	934	494
654	935	492
655	936	490
656	937	489
657	938	487
658	939	486
659	940	484
660	941	482
661	942	481
662	943	479
663	944	478
664	945	476
665	946	474
666	947	473
667	949	471
668	950	470
669	951	468
670	952	466
671	953	465
672	954	463
673	955	461
674	956	460
675	957	458
676	958	457
677	959	455
678	960	454
679	961	452
680	962	450
681	963	449
682	964	447
683	965	445
684	966	444
685	966	442
686	967	440
687	968	439
688	969	437
689	970	435
690	971	434
691	972	432
692	973	431
693	973	429
694	974	427
695	975	426
696	976	424
697	977	422
698	978	421
699	979	419
700	980	418
701	980	416
702	981	414
703	982	413
704	983	411
705	983	409
706	984	408
707	985	406
708	986	404
709	987	403
710	988	401
711	988	399
712	989	398
713	990	396
714	991	395
715	991	393
716	992	391
717	993	390
718	994	388
719	995	386
720	995	385
721	996	383
722	997	382
723	998	380
724	998	378
725	999	377
726	1000	375
727	1001	374
728	1002	372
729	1002	370
730	1003	369
731	1004	367
732	1005	366
733	1005	364
734	1006	362
735	1007	361
736	1008	359
737	1009	358
738	1009	356
739	1010	355
740	1011	353
741	1012	351
742	1013	350
743	1013	348
744	1014	347
745	1015	345
746	1016	344
747	1017	342
748	1017	341
749	1018	339
750	1019	337
751	1020	336
752	1020	334
753	1021	333
754	1022	331
755	1023	330
756	1024	328
757	1025	327
758	1025	325
759	1026	324
760	1027	322
761	1028	321
762	1028	319
763	1029	318
764	1030	316
765	1031	315
766	1032	313
767	1033	312
768	1033	310
769	1034	309
770	1035	307
771	1036	306
772	1036	304
773	1037	303
774	1038	301
775	1039	300
776	1040	298
777	1041	297
778	1041	295
779	1042	294
780	1043	292
781	1044	291
782	1045	289
783	1046	288
784	1046	286
785	1047	285
786	1048	283
787	1049	282
788	1049	280
789	1050	279
790	1051	277
791	1052	276
792	1053	274
793	1053	273
794	1054	271
795	1055	270
796	1056	269
797	1057	267
798	1058	266
799	1058	264
800	1059	263
801	1060	261
802	1061	260
803	1062	258
804	1063	257
805	1063	256
806	1064	254
807	1065	253
808	1066	251
809	1067	250
810	1067	248
811	1068	247
812	1069	245
813	1070	244
814	1070	243
815	1071	241
816	1072	240
817	1073	238
818	1073	237
819	1074	235
820	1075	234
821	1076	233
822	1077	231
823	1078	230
824	1079	228
825	1079	227
826	1080	226
827	1081	224
828	1082	223
829	1082	221
830	1083	220
831	1084	219
832	1085	217
833	1086	216
834	1086	214
835	1087	213
836	1088	211
837	1089	210
838	1090	209
839	1090	207
840	1091	206
841	1092	205
842	1093	203
843	1094	202
844	1094	200
845	1095	199
846	1096	198
847	1097	196
848	1097	195
849	1098	193
850	1099	192
851	1100	191
852	1101	189
853	1101	188
854	1102	186
855	1103	185
856	1104	184
857	1104	182
858	1105	181
859	1106	180
860	1107	178
861	1108	177
862	1109	176
863	1109	174
864	1110	173
865	1111	171
866	1112	170
867	1113	169
868	1113	167
869	1114	166
870	1115	165
871	1116	163
872	1116	162
873	1117	161
874	1118	159
875	1119	158
876	1120	157
877	1121	155
878	1121	154
879	1122	153
880	1123	151
881	1124	150
882	1124	149
883	1125	147
884	1126	146
885	1127	145
886	1128	143
887	1129	142
888	1129	141
889	1130	139
890	1131	138
891	1132	137
892	1133	135
893	1133	134
894	1134	133
895	1135	131
896	1136	130
897	1137	129
898	1138	127
899	1138	126
900	1139	125
901	1140	123
902	1141	122
903	1141	121
904	1142	119
905	1143	118
906	1144	117
907	1145	116
908	1145	114
909	1146	113
910	1147	112
911	1148	110
912	1149	109
913	1149	108
914	1150	106
915	1151	105
916	1152	104
917	1153	103
918	1154	101
919	1155	100
920	1155	99
921	1156	97
922	1157	96
923	1158	95
924	1159	94
925	1160	92
926	1161	91
927	1161	90
928	1162	88
929	1163	87
930	1164	86
931	1164	84
932	1165	83
933	1166	82
934	1167	81
935	1168	79
936	1169	78
937	1169	77
938	1170	76
939	1171	74
940	1172	73
941	1173	72
942	1174	71
943	1175	69
944	1176	68
945	1177	67
946	1178	65
947	1179	64
948	1180	63
949	1181	62
950	1182	60
951	1182	59
952	1183	58
953	1184	57
954	1185	55
955	1185	54
956	1186	53
957	1187	52
958	1188	50
959	1189	49
960	1189	48
961	1190	47
962	1191	45
963	1192	44
964	1192	43
965	1193	42
966	1194	40
967	1195	39
968	1196	38
969	1197	37
970	1197	35
971	1198	34
972	1199	33
973	1200	32
974	1200	30
975	1201	29
976	1202	28
977	1203	27
978	1204	25
979	1204	24
980	1205	23
981	1206	22
982	1207	20
983	1208	19
984	1208	18
985	1209	17
986	1210	15
987	1211	14
988	1212	13
989	1212	12
990	1213	11
991	1214	9
992	1215	8
993	1215	7
994	1216	6
995	1217	4
996	1218	3
997	1219	2
998	1219	1
999	1220	0
